gene_id,GFP+_ribo_A,GFP+_ribo_B,GFP+_rna_A,GFP-_rna_A,GFP+_rna_B,GFP-_rna_B
ENSG00000161618.9,0.03584,0.033903,2.5999230000000004,8.570867,2.598749,4.80155
ENSG00000161638.10,0.007769,0.018698,0.218026,2.196657,0.5126,2.668374
ENSG00000161642.17,0.035458,0.035035,4.866289000000001,14.681722999999998,5.460799,7.967633
ENSG00000161647.18,0.001943,0.006322,0.683412,1.4268200000000002,1.3794469999999999,0.725835
ENSG00000161653.10,0.002293,0.005655,0.469826,0.851406,0.71054,0.753151
ENSG00000161654.9,0.831656,1.045223,19.53836,13.046827,22.198283,21.597751
ENSG00000161664.6,0.005518,0.009191,1.13701,0.647196,0.724938,0.574179
ENSG00000161671.16,0.6390330000000001,0.8586879999999999,94.46853,111.92191000000001,101.550942,89.75165699999998
ENSG00000161677.11,0.030363,0.01404,0.8108040000000001,4.667759,0.732648,4.0614799999999995
ENSG00000161681.15,9.43e-4,0.001274,0.749351,1.258263,0.6262310000000001,0.143687
ENSG00000161682.14,0.046938,0.07194199999999999,3.817423,4.566668,4.532022,3.128418
ENSG00000161692.17,0.040017,0.035606000000000006,1.543937,2.58955,1.144009,2.000906
ENSG00000161714.11,0.36718599999999996,0.408554,4.252181,9.455613,5.110842,4.187297
ENSG00000161791.13,0.004345,5.14e-4,0.134114,0.6486259999999999,0.045010999999999995,0.46476900000000004
ENSG00000161798.6,0,0.004821,1.3468149999999999,1.821654,1.081628,0.9852209999999999
ENSG00000161800.12,0.16383,0.446926,4.969847,16.515218,6.56149,4.977132
ENSG00000161813.21,0.560873,0.660553,25.753149999999998,10.636529,23.401666000000006,20.658548
ENSG00000161835.10,0.14386,0.3487350000000001,23.486705,19.146811,14.268367000000001,13.480561
ENSG00000161847.13,0.033005,0.193391,13.303816,14.028479,12.273694,11.577979
ENSG00000161888.11,0.013753,0.003745,0.349632,7.152277000000001,0.42481499999999994,1.346134
ENSG00000161896.11,0,0,0.28453,1.250126,0.113969,0.981201
ENSG00000161904.11,0.26901600000000003,0.394443,29.957047000000006,21.612938000000003,30.285477,21.956506
ENSG00000161912.17,0.001509,0,0.5922,0.373526,0.9662839999999999,1.054438
ENSG00000161914.9,0.06160500000000001,0.027134,4.9056310000000005,4.435712,3.3732480000000002,3.281802
ENSG00000161920.9,0.242546,0.363857,14.039333,18.515812,17.11126,15.084586
ENSG00000161921.14,0.024062,0.032335,2.186988,4.4724509999999995,1.455789,3.363805
ENSG00000161944.16,0.029357,0.035649,1.6759970000000002,1.5564629999999997,1.407165,2.3878069999999996
ENSG00000161955.16,0.001882,0.00816,0.409092,2.235393,0.391005,0.856463
ENSG00000161956.12,0.128585,0.432798,15.800566000000002,17.042446,17.222155,14.593161
ENSG00000161958.10,0.014105999999999999,0.010241,5.385762,2.9365869999999994,7.317705999999999,5.938638
